method,target_rr,selected_delta,calibration_rr,test_rr,all_rr,calibration_refreshes_per_sample,test_refreshes_per_sample,all_refreshes_per_sample,calibration_samples,test_samples,all_samples,target_abs_error,target_rr_reachable,min_positive_score,max_sample_score_sum
uniform,0.3,,0.30303030303030304,0.30303030303030304,0.30303030303030304,30.0,30.0,30.0,64,192,256,,,,
uniform,0.4,,0.40404040404040403,0.40404040404040403,0.40404040404040403,40.0,40.0,40.0,64,192,256,,,,
uniform,0.5,,0.5050505050505051,0.5050505050505051,0.5050505050505051,50.0,50.0,50.0,64,192,256,,,,
raw_oracle,0.3,3.4848955871853375,0.30003156565656564,0.3023989898989899,0.3018071338383838,29.703125,29.9375,29.87890625,64,192,256,3.156565656564636e-05,True,0.0021010934635135405,121.22195262297933
raw_oracle,0.4,2.320951559459025,0.3999368686868687,0.40440867003367004,0.4032907196969697,39.59375,40.036458333333336,39.92578125,64,192,256,6.313131313134823e-05,True,0.0021010934635135405,121.22195262297933
raw_oracle,0.5,1.8358014688398878,0.5,0.5092066498316499,0.5069049873737373,49.5,50.411458333333336,50.18359375,64,192,256,0.0,True,0.0021010934635135405,121.22195262297933
sea_oracle,0.3,5.562762770832975,0.30003156565656564,0.3010311447811448,0.30078125,29.703125,29.802083333333332,29.77734375,64,192,256,3.156565656564636e-05,True,0.001735332779431561,209.18559558061028
sea_oracle,0.4,2.9036727919048184,0.3999368686868687,0.4015151515151515,0.40112058080808083,39.59375,39.75,39.7109375,64,192,256,6.313131313134823e-05,True,0.001735332779431561,209.18559558061028
sea_oracle,0.5,2.1569570749622056,0.5,0.5059974747474747,0.5044981060606061,49.5,50.09375,49.9453125,64,192,256,0.0,True,0.001735332779431561,209.18559558061028
dino_oracle,0.3,8.405775718682017,0.30003156565656564,0.3090803872053872,0.3068181818181818,29.703125,30.598958333333332,30.375,64,192,256,3.156565656564636e-05,True,0.00030679552078539653,1883.403561895996
dino_oracle,0.4,3.5743462550126255,0.3999368686868687,0.4128787878787879,0.40964330808080807,39.59375,40.875,40.5546875,64,192,256,6.313131313134823e-05,True,0.00030679552078539653,1883.403561895996
dino_oracle,0.5,1.4512923487689453,0.5,0.5179924242424242,0.5134943181818182,49.5,51.28125,50.8359375,64,192,256,0.0,True,0.00030679552078539653,1883.403561895996
lpips_oracle,0.3,7.9757215506047014,0.30003156565656564,0.2871948653198653,0.2904040404040404,29.703125,28.432291666666668,28.75,64,192,256,3.156565656564636e-05,True,0.0007559542567188975,1141.258823828341
lpips_oracle,0.4,3.3087054467574086,0.3999368686868687,0.3848905723905724,0.38865214646464646,39.59375,38.104166666666664,38.4765625,64,192,256,6.313131313134823e-05,True,0.0007559542567188975,1141.258823828341
lpips_oracle,0.5,1.5057874952594985,0.5,0.4904250841750842,0.49281881313131315,49.5,48.552083333333336,48.7890625,64,192,256,0.0,True,0.0007559542567188975,1141.258823828341
pma_nogate_oracle,0.3,7.926971055181864,0.30003156565656564,0.2978745791245791,0.29841382575757575,29.703125,29.489583333333332,29.54296875,64,192,256,3.156565656564636e-05,True,0.0012903692269763177,898.0142240169419
pma_nogate_oracle,0.4,3.679155969431859,0.3999368686868687,0.398621632996633,0.39895044191919193,39.59375,39.463541666666664,39.49609375,64,192,256,6.313131313134823e-05,True,0.0012903692269763177,898.0142240169419
pma_nogate_oracle,0.5,1.9766042778046395,0.5,0.5025778619528619,0.5019333964646465,49.5,49.755208333333336,49.69140625,64,192,256,0.0,True,0.0012903692269763177,898.0142240169419
pma_stageaware_oracle,0.3,6.157050033913222,0.30003156565656564,0.305239898989899,0.30393781565656564,29.703125,30.21875,30.08984375,64,192,256,3.156565656564636e-05,True,0.0012261476751262183,612.3029180443385
pma_stageaware_oracle,0.4,3.3868446696411887,0.3999368686868687,0.40446127946127947,0.40333017676767674,39.59375,40.041666666666664,39.9296875,64,192,256,6.313131313134823e-05,True,0.0012261476751262183,612.3029180443385
pma_stageaware_oracle,0.5,1.6980938447097547,0.5,0.5047348484848485,0.5035511363636364,49.5,49.96875,49.8515625,64,192,256,0.0,True,0.0012261476751262183,612.3029180443385
