window_id,stage,start_call,window_len,end_call,note
0,sanity,1,1,1,match_e5_call1
1,sanity,2,1,2,match_e5_call2
2,sanity,3,1,3,match_e5_call3
3,sanity,5,1,5,match_e5_call5
4,sanity,7,1,7,match_e5_call7
5,sanity,8,1,8,match_e5_call8
6,sanity,16,1,16,match_e5_call16
7,sanity,32,1,32,match_e5_call32
8,sanity,64,1,64,match_e5_call64
9,sanity,90,1,90,match_e5_call90
10,sanity,98,1,98,match_e5_call98
11,early,1,2,2,early_len2
12,early,3,2,4,early_len2
13,early,5,2,6,early_len2
14,early,7,2,8,early_len2
15,early,1,4,4,early_len4
16,early,3,4,6,early_len4
17,transition,8,2,9,transition_len2
18,transition,8,4,11,transition_len4
19,transition,10,2,11,transition_len2
20,transition,10,4,13,transition_len4
21,transition,12,2,13,transition_len2
22,transition,12,4,15,transition_len4
23,transition,14,2,15,transition_len2
24,transition,14,4,17,transition_len4
25,mid,16,2,17,mid_len2
26,mid,16,4,19,mid_len4
27,mid,16,8,23,mid_len8
28,mid,16,12,27,mid_len12
29,mid,16,16,31,mid_len16
30,mid,20,2,21,mid_len2
31,mid,20,4,23,mid_len4
32,mid,20,8,27,mid_len8
33,mid,24,2,25,mid_len2
34,mid,24,4,27,mid_len4
35,mid,24,8,31,mid_len8
36,mid,32,2,33,mid_len2
37,mid,32,4,35,mid_len4
38,mid,32,8,39,mid_len8
39,mid,32,12,43,mid_len12
40,mid,40,2,41,mid_len2
41,mid,40,4,43,mid_len4
42,mid,40,8,47,mid_len8
43,mid,40,16,55,mid_len16
44,mid,50,2,51,mid_len2
45,mid,50,4,53,mid_len4
46,mid,50,8,57,mid_len8
47,mid,50,12,61,mid_len12
48,mid,60,2,61,mid_len2
49,mid,60,4,63,mid_len4
50,mid,60,8,67,mid_len8
51,mid,70,2,71,mid_len2
52,mid,70,4,73,mid_len4
53,mid,70,8,77,mid_len8
54,mid,70,12,81,mid_len12
55,mid,80,2,81,mid_len2
56,mid,80,4,83,mid_len4
57,mid,80,8,87,mid_len8
58,tail,88,2,89,tail_len2
59,tail,88,4,91,tail_len4
60,tail,88,6,93,tail_len6
61,tail,90,2,91,tail_len2
62,tail,90,4,93,tail_len4
63,tail,90,6,95,tail_len6
64,tail,92,2,93,tail_len2
65,tail,92,4,95,tail_len4
66,tail,92,6,97,tail_len6
67,tail,94,2,95,tail_len2
68,tail,94,4,97,tail_len4
69,tail,96,2,97,tail_len2
