sample_index,window_id,start_call,end_call,window_len,available_single_count,single_sum_lpips,window_lpips,ratio_lpips,single_sum_dino,window_dino,ratio_dino
0,0,1,1,1,1,0.21497765183448792,nan,nan,0.14951986074447632,nan,nan
0,1,3,3,1,1,0.08986722677946091,nan,nan,0.22467541694641113,nan,nan
0,2,7,7,1,1,0.007749596145004034,nan,nan,0.0168302059173584,nan,nan
0,3,16,16,1,1,0.00031792346271686256,nan,nan,0.0004165172576904297,nan,nan
0,4,64,64,1,1,3.5975514123265384e-08,nan,nan,-1.1920928955078125e-07,nan,nan
0,5,96,96,1,1,1.3704042430617847e-05,nan,nan,6.258487701416016e-06,nan,nan
0,6,8,9,2,2,0.0025070381816476583,nan,nan,0.004184365272521973,nan,nan
0,7,16,17,2,2,0.000901674124179408,nan,nan,0.0011067390441894531,nan,nan
0,8,16,19,4,4,0.0014145971399557311,nan,nan,0.0018236637115478516,nan,nan
0,9,32,35,4,4,0.0003036990256077843,nan,nan,0.0005074143409729004,nan,nan
0,10,64,71,8,8,2.1845260267383537e-05,nan,nan,1.2278556823730469e-05,nan,nan
0,11,90,91,2,2,5.629025463349535e-05,nan,nan,2.47955322265625e-05,nan,nan
0,12,94,97,4,4,0.000327772434502549,nan,nan,0.0001576542854309082,nan,nan
