sample_index,class_id,seed,window_id,stage,start_call,end_call,window_len,start_step,end_step,start_t,end_t,start_call_kind,end_call_kind,num_predictor,num_corrector,intervention_valid,invalid_reason,pis_lpips,pis_dino,pis_psnr,pis_ssim,suffix_denoiser_calls,skipped_calls,elapsed_sec,reference_image,intervention_image
0,0,0,0,sanity,1,1,1,0,0,0.010101010091602802,0.010101010091602802,corrector,corrector,0,1,True,,,,28.50106430053711,0.9172950983047485,98,1,3.667640179861337,,
0,0,0,1,sanity,3,3,1,1,1,0.020408162847161293,0.020408162847161293,corrector,corrector,0,1,True,,,,33.930606842041016,0.9686403274536133,96,1,3.587363360915333,,
0,0,0,2,sanity,7,7,1,3,3,0.0416666641831398,0.0416666641831398,corrector,corrector,0,1,True,,,,42.61539840698242,0.9965285658836365,92,1,3.4690127160865813,,
0,0,0,3,sanity,16,16,1,8,8,0.08695651590824127,0.08695651590824127,predictor,predictor,1,0,True,,,,61.29297637939453,0.9999008178710938,82,1,3.0859622440766543,,
0,0,0,4,sanity,64,64,1,32,32,0.4705882966518402,0.4705882966518402,predictor,predictor,1,0,True,,,,98.45295715332031,1.0,34,1,1.2822518039029092,,
0,0,0,5,sanity,96,96,1,48,48,0.9230769872665405,0.9230769872665405,predictor,predictor,1,0,True,,,,76.28719329833984,0.9999951124191284,2,1,0.07862448412925005,,
0,0,0,6,transition,8,9,2,4,4,0.0416666641831398,0.052631575614213943,predictor,corrector,1,1,True,,,,45.339385986328125,0.9984013438224792,89,2,3.3535720631480217,,
0,0,0,7,mid,16,17,2,8,8,0.08695651590824127,0.09890110045671463,predictor,corrector,1,1,True,,,,52.03316116333008,0.9994497299194336,81,2,3.0540879420004785,,
0,0,0,8,mid,16,19,4,8,9,0.08695651590824127,0.1111111044883728,predictor,corrector,2,2,True,,,,37.183143615722656,0.9758861064910889,79,4,2.984031207161024,,
0,0,0,9,mid,32,35,4,16,17,0.1904761791229248,0.2195121943950653,predictor,corrector,2,2,True,,,,38.34519577026367,0.9765024185180664,63,4,2.3821991961449385,,
0,0,0,10,mid,64,71,8,32,35,0.4705882966518402,0.5625000596046448,predictor,corrector,4,4,True,,,,53.77320098876953,0.999562680721283,27,8,1.0254980169702321,,
0,0,0,11,tail,90,91,2,45,45,0.8181819319725037,0.8518519401550293,predictor,corrector,1,1,True,,,,68.57037353515625,0.9999684691429138,7,2,0.2678302151616663,,
0,0,0,12,tail,94,97,4,47,48,0.8867924809455872,0.960784375667572,predictor,corrector,2,2,True,,,,51.56800842285156,0.9989312887191772,1,4,0.04132147808559239,,
